,Product Link,Product description
101,https://www.asos.com/superdry/superdry-vintage-code-essential-shorts-in-navy/prd/204893037?clr=eclipse-navy&colourWayId=204893044&cid=6993,Superdry vintage code essential shorts in navy
102,https://www.asos.com/superdry/superdry-vintage-neon-logo-t-shirt-in-blue/prd/204892968?clr=hydro-blue&colourWayId=204892989&cid=6993,Superdry vintage neon logo t-shirt in blue
103,https://www.asos.com/superdry/superdry-core-sport-vest-in-navy/prd/204892962?clr=eclipse-navy&colourWayId=204892978&cid=6993,Superdry core sport vest in navy
104,https://www.asos.com/superdry/superdry-vintage-block-stripe-rugby-top-in-blue/prd/204892949?clr=cerulean-dusk-blue-w&colourWayId=204892969&cid=6993,Superdry vintage block stripe rugby top in blue
105,https://www.asos.com/superdry/superdry-vintage-surf-logo-t-shirt-in-grey/prd/204892926?clr=vintage-black&colourWayId=204892936&cid=6993,Superdry vintage surf logo t-shirt in grey
106,https://www.asos.com/superdry/superdry-embroidered-logo-long-sleeve-t-shirt-in-grey/prd/204892906?clr=glacier-grey-marl&colourWayId=204892925&cid=6993,Superdry embroidered logo long sleeve t-shirt in grey
107,https://www.asos.com/superdry/superdry-vintage-core-sport-t-shirt-in-black/prd/204892835?clr=black&colourWayId=204892867&cid=6993,Superdry vintage core sport t-shirt in black
108,https://www.asos.com/superdry/superdry-vintage-code-essential-shorts-in-green/prd/204892803?clr=drop-kick-green&colourWayId=204892805&cid=6993,Superdry vintage code essential shorts in green
109,https://www.asos.com/asos-design/asos-design-relaxed-t-shirt-in-black-with-abstract-sunset-back-print/prd/204675888?clr=black&colourWayId=204675898&cid=6993,ASOS DESIGN relaxed t-shirt in black with abstract sunset back print
110,https://www.asos.com/asos-design/asos-design-oversized-t-shirt-in-pale-green-with-floral-back-print/prd/204622329?clr=green&colourWayId=204622332&cid=6993,ASOS DESIGN oversized t-shirt in pale green with floral back print
111,https://www.asos.com/asos-design/asos-dark-future-oversized-t-shirt-with-large-dog-logo-back-print-in-pink/prd/204620915?clr=pink&colourWayId=204620920&cid=6993,ASOS Dark Future oversized t-shirt with large dog logo back print in pink
112,https://www.asos.com/asos-design/asos-dark-future-oversized-t-shirt-with-graffiti-front-print-in-black/prd/204620690?clr=black&colourWayId=204620691&cid=6993,ASOS Dark future oversized t-shirt with graffiti front print in black
113,https://www.asos.com/asos-design/asos-actual-co-ord-oversized-t-shirt-with-watercolour-flower-print-in-blue/prd/204620655?clr=blue&colourWayId=204620657&cid=6993,ASOS Actual co-ord oversized t-shirt with watercolour flower print in blue
114,https://www.asos.com/asos-design/asos-actual-oversized-t-shirt-with-vintage-sports-graphic-in-neutral/prd/204620548?clr=neutral&colourWayId=204620554&cid=6993,ASOS Actual oversized t-shirt with vintage sports graphic in neutral
115,https://www.asos.com/asos-design/asos-actual-co-ord-oversized-t-shirt-with-multi-coloured-life-style-logo-in-black/prd/204620474?clr=black&colourWayId=204620477&cid=6993,ASOS Actual co-ord oversized t-shirt with multi coloured life style logo in black
116,https://www.asos.com/asos-design/asos-actual-co-ord-oversized-t-shirt-with-fruity-health-wellbeing-print-in-white-marl/prd/204620198?clr=oatmeal-marl&colourWayId=204620199&cid=6993,ASOS Actual co-ord oversized t-shirt with fruity health & wellbeing print in white marl
117,https://www.asos.com/asos-design/asos-actual-oversized-vest-with-floral-back-print-in-white/prd/204620109?clr=white&colourWayId=204620112&cid=6993,ASOS Actual oversized vest with floral back print in white
